FILE		COUNT	SUM	MEDIAN	AVG	MIN	MAX	CCOUNT	CSUM	CMEDIAN	CAVG	CMIN	CMAX
yslow-css3-all	104	1223.391	10.696	11.763	4.104	55.714	94	1056.382	10.696	11.238	7.068	17.957
yslow-css3-w3c	102	480.805	3.658	4.714	0.079	19.685	92	408.115	3.658	4.436	2.735	9.313
yslow-css3-wk	102	1155.200	11.000	11.325	0.091	20.355	92	1033.436	11.000	11.233	6.985	17.341
yslow-jpg	106	240.416	1.564	2.268	0.665	44.710	96	169.721	1.564	1.768	1.110	4.006
yslow-jpg-il	119	508.760	2.598	4.275	0.017	78.725	107	354.455	2.598	3.313	1.276	8.845
yslow-png8	105	282.137	1.786	2.687	0.636	83.303	95	176.143	1.786	1.854	1.243	3.537
yslow-png8-il	105	515.727	3.585	4.912	0.029	53.609	95	405.358	3.585	4.267	2.470	8.861
yslow-pngRGB	105	236.141	1.711	2.249	0.041	40.045	95	164.876	1.711	1.736	1.151	3.004
yslow-pngRGB-il	106	664.950	5.861	6.273	0.019	46.439	96	572.908	5.861	5.968	3.785	8.356
yslow-webp	105	266.485	1.662	2.538	0.670	73.335	95	168.058	1.662	1.769	1.142	4.070
yslow-webp-il	107	650.688	4.750	6.081	0.019	42.635	97	552.971	4.750	5.701	3.338	11.623
